size	Count
256	1
419	1
616	1
360	1
254	1
641	1
466	1
422	1
297	2
461	2
595	1
1227	1
1810	1
1555	2
4866	1
1747	1
1519	3
489	1
1616	2
976	1
1615	4
1042	3
1688	4
475	1
4121	1
1806	1
1522	1
1602	2
1599	1
2504	1
1636	7
1433	2
1064	1
1614	16
606	1
1565	2
1544	1
1510	1
1609	7
1680	1
1664	4
1613	6
454	1
1069	1
1654	1
3934	1
1603	3
1813	2
1087	1
3926	1
1477	1
818	1
1412	2
1634	2
1610	6
5000	2
1817	2
1630	3
1561	2
889	2
1563	1
3003	1
1470	1
1473	1
3922	1
1689	1
1425	2
1543	3
510	1
1558	2
1863	4
1598	3
1370	2
3772	1
907	2
1617	2
503	1
4560	1
406	1
506	1
968	2
1105	1
1738	2
1462	1
1576	1
1628	2
963	1
1681	1
1539	1
1047	1
1739	1
973	1
1447	1
464	3
702	1
1884	1
535	1
1073	1
3931	1
1822	1
1054	2
483	1
1396	1
1622	2
3924	1
1812	2
1559	2
471	2
1718	1
1061	1
1427	1
2040	1
480	1
1564	1
3939	1
1458	1
1568	2
3898	1
3904	1
1375	2
1704	3
536	1
1567	1
1638	3
1635	3
3984	1
1055	1
1629	5
3937	4
1728	1
1551	2
869	1
1611	3
1742	2
1709	1
3938	2
1643	3
1656	3
4997	1
1481	1
1687	5
1668	2
1538	1
1710	2
3960	1
487	4
4524	1
2676	2
3854	1
433	1
1369	1
1678	1
1631	3
1619	2
1663	1
1011	2
3989	1
2643	1
569	1
1557	1
469	2
3885	1
1682	2
987	2
4012	1
1690	3
1040	1
1569	3
967	1
600	1
1547	2
4702	1
1550	2
3954	1
587	1
3943	1
1580	1
3757	1
1530	2
1472	1
1612	2
1594	2
1809	2
1606	5
3953	1
1653	1
1553	1
1851	1
1525	1
455	2
1058	2
1516	1
1322	1
3873	1
1573	2
1514	2
1596	2
991	1
1509	1
3869	1
485	1
1660	1
1592	4
1625	1
540	1
1684	1
484	1
1070	1
1755	2
1632	1
1719	1
3948	1
3906	1
4995	1
1700	1
1605	1
1646	2
1032	1
707	1
1672	1
1486	1
1620	2
1683	1
538	2
3795	1
1623	1
1043	1
3927	1
430	1
1732	1
490	3
1545	2
1608	5
1459	1
3901	1
1068	1
1435	1
2174	1
1791	1
479	1
1044	1
645	1
1542	1
1541	1
456	2
3803	1
793	1
2003	1
610	1
1871	1
3760	1
458	1
1482	1
1624	1
1641	1
1521	1
1540	1
951	2
4994	1
1475	1
567	1
1512	1
681	1
1881	1
2427	1
1524	1
1705	1
1490	1
1748	1
3921	2
504	1
3932	2
1698	2
953	1
1600	1
1511	1
1733	1
1480	1
1856	1
2232	1
1808	3
1520	1
3738	1
1865	1
1829	1
1528	1
1754	2
1164	1
1811	1
1657	1
619	1
2024	1
357	1
481	1
1607	2
3866	2
1556	1
661	1
1554	1
1928	1
1756	1
1673	1
1552	2
1062	1
1621	1
1601	1
1674	1
1518	1
559	1
1587	1
1536	1
1920	1
1038	1
952	1
444	1
1720	1
451	1
3804	1
1532	1
519	1
1037	2
2013	1
1864	1
709	1
1757	1
1786	1
549	1
4978	1
3805	1
1731	1
1597	2
435	2
1574	1
1575	1
1591	1
4485	1
1505	1
4470	1
428	1
1483	1
3886	1
564	2
1202	1
1134	1
936	1
993	1
350	1
1241	2
470	1
371	1
700	1
1372	1
1184	1
693	1
162	1
286	1
854	1
800	1
806	1
407	1
849	1
897	1
812	1
3305	1
1124	1
820	1
2541	1
3336	1
3644	1
3068	1
2850	1
927	1
2257	1
347	1
1882	1
1758	1
1269	1
2204	1
1136	1
960	1
3519	1
1222	1
1065	1
1095	1
3209	1
529	1
640	2
733	1
662	1
1209	1
2574	1
1798	1
663	2
2252	1
1476	1
2149	1
4073	1
946	1
840	1
1190	1
698	1
180	1
764	1
910	1
1004	1
937	1
740	1
959	1
3443	1
2700	1
238	1
724	1
2771	1
2812	1
2716	1
3117	1
2999	1
2520	1
2802	1
2670	1
2675	1
2521	1
2165	1
2243	1
508	1
914	1
1942	1
1570	1
1826	1
1593	1
1708	1
1279	1
1377	1
1549	1
362	1
1051	1
1351	1
1333	1
355	1
909	1
637	1
901	1
921	1
196	1
626	1
248	1
